Vertex 1,Vertex 2,Dollar Value,Partner Type,Country,Activity Level
Calit2 UCSD,NCSA-Illinois,Unknown,Academic,US,b
Cinegrid,NetApp,Unknown,Industry,US,d
Cinegrid,NorthWestern,Unknown,Academic,US,a
Cinegrid,NTT,Unknown,Industry,Japan,a
Cinegrid,Pacific Interface Inc,Unknown,Industry,US,a
Cinegrid,Poznan Superocmputing and Networking Center,Unknown,Academic,Poland,d
Cinegrid,Renaissance Center North Carolina,Unknown,Academic,US,d
Cinegrid,Rogers Communications Center-Ryerson University,Unknown,Academic,Canada,d
Cinegrid,SARA-Norway,Unknown,Network,Netherlands,d
Cinegrid,Sharp-Japan,Unknown,Industry,Japan,b
Cinegrid,Sharp-USA,Unknown,Industry,US,b
Cinegrid,Sony,Unknown,Industry,Japan,a
Cinegrid,Tohoku University,Unknown,Academic,Japan,d
Cinegrid,Tulane University,Unknown,Academic,US,d
Cinegrid,University of Amsterdam,Unknown,Academic,Netherlands,a
Cinegrid,University of Manitoba ,Unknown,Academic,Canada,d
Cinegrid,University of Southern California,Unknown,Academic,US,c
Calit2 UCSD,University of Southern California,Unknown,Academic,US,c
Cinegrid,University of Washington,Unknown,Academic,US,c
Cinegrid,WAAG Society,Unknown,Not for Profit,Netherlands,d
Cinegrid,Walt Disney Studios,Unknown,Industry,US,b
Calit2 UCSD,Walt Disney Studios,Unknown,Industry,US,b
Academy of Motion Picture Arts and Sciences,Pacific Interface Inc,Unknown,Industry,US,a
Academy of Motion Picture Arts and Sciences,California Academy of Sciences,Unknown,Not for Profit,US,c
California Academy of Sciences,Pacific Interface Inc,Unknown,Industry,US,a
NTT,Cinepost-Prague,Unknown,Industry,Czech,
Digital Domain,Walt Disney Studios,Unknown,Industry,US,
NTT,EVL-UIUC,Unknown,Academic,US,a
EVL-UIUC,Mechdyne Corporation,Unknown,Industry,US,
NTT,Naval Postgraduate School,Unknown,Academic,US,b
NTT,Tohoku University,Unknown,Academic,Japan,
NTT ,Pacific Interface Inc,Unknown,Industry,US,
Sharp-Japan,EVL-UIUC,Unknown,Academic,US,a
Sharp-USA,EVL-UIUC,Unknown,Academic,US,a
NTT,University of Amsterdam,Unknown,Academic,Netherlands,a
University of Amsterdam,WAAG Society,Unknown,Not for Profit,Netherlands,c
NTT,University of Southern California,Unknown,Academic,US,c
Calit2 UCSD,King Abdullah University of Science and Technology,Unknown,Academic,SA,c
Calit2 UCSD,Cisco,Unknown,Industry,US,b
Calit2 UCSD,Korea Electronics Technology Institute,"$1,000,000 ",Government,Korea,a
