Vertex1,Vertex2,Abbreviation,DollarValue,PartnerType,Country,ActivityLevel,DefaultOn
PRAGMA,Centro de Invertigacion Cientifica y de Educacion Superior de Ensenada (CICESE),CICESE,Unknown,Government,Mexico,d,
PRAGMA,CRAY,CRAY,Unknown,Industry,US,E,
PRAGMA,UCSD: Center for Research in Biological Systems,CRBS,Unknown,Academic,US,a,
PRAGMA,"Global Scientific Information and Computing Center, Tokyo Institute of Technology",GSICC,Unknown,Academic,Japan,d,
PRAGMA,Hanoi University of Technology,Hanoi U,Unknown,Academic,Vietnam,c,
PRAGMA,Ho Chi Minh City University of Technology,Ho Chi Minh U,Unknown,Academic,Vietnam,c,
PRAGMA,Institute for High Performance Computing-Singapore,IHPC,Unknown,Academic,Singapore,d,
PRAGMA,Institue for Information Technology-Vietnam,IIT-Viet,Unknown,Academic,Vietnam,c,
PRAGMA,Indiana University,Indiana U,Unknown,Academic,US,b,
PRAGMA,"College of Computer Science and Technology, Jilin University",Jilin U,Unknown,Academic,Canada,b,
PRAGMA,Kasetsart University,Kasetsart U,Unknown,Academic,Thailand,b,
PRAGMA,Korea Institute of Science and Technology Information,KIST,Unknown,Academic,Korea,b,
PRAGMA,Konkuk University,Konkuku U,Unknown,Academic,Korea,b,
PRAGMA,Kookmin University,Kookmin U,Unknown,Academic,Korea,c,
PRAGMA,Korea Basic Science Institute,KoreaBSI,Unknown,Academic,Korea,E,
PRAGMA,Lan Zhou University,Lan Zhou U,Unknown,Academic,China,b,
PRAGMA,Malaysian Institute of Microelectronic Systems (MIMOS),MIMOS,Unknown,Academic,Malaysia,c,
PRAGMA,Monash University,Monash U,Unknown,Academic,Australia,a,
PRAGMA,National Agricultural Research Center-Japan,NARC,Unknown,Academic,Japan,E,
PRAGMA,National Applied Research Laboratories,NARL,Unknown,Academic,Taiwan,d,
PRAGMA,UCSD: National Biomedical Computation Resource,NBCR,Unknown,Academic,US,a,
PRAGMA,National Center for Higher Performance Computing-Taiwan,NCHPC,Unknown,Academic,Taiwan,a,
PRAGMA,UCSD: National Center for Microscopy and Imaging Research,NCMI,Unknown,Academic,US,a,
PRAGMA,National Center for Supercomputing Applications-Illinois,NCSA,Unknown,Academic,US,E,
PRAGMA,National Electronics and Computer Technology Center-Thailand,NECTC,Unknown,Academic,Thailand,b,
PRAGMA,National Grid Office-Singapore,NGO,Unknown,Government,Singapore,E,
PRAGMA,National Institute of Advanced Industrial Science and Technology-Japan,NIAIST,Unknown,Academic,Japan,a,
PRAGMA,NICT,NICT,Unknown,Academic,Japan,b,
PRAGMA,"Cybermedia Center and Research Center for Ultra-high Voltage Electron Microscopy, Osaka University",Osaka U,Unknown,Academic,Japan,a,
PRAGMA,Pacific Northwest Gigapop,PNGigapop,Unknown,Network,US,d,
PRAGMA,UCSD: San Diego Supercomputing Center,SDSC,Unknown,Academic,US,a,
PRAGMA,"Star Tap, Translight",StarTap,Unknown,Network,US,c,
PRAGMA,Thai National Grid Center-Thailand,ThaiNGC,Unknown,Academic,Thailand,E,
PRAGMA,"TransPAC2, Indiana",TransPAC2,Unknown,Network,US,b,
PRAGMA,U Chile,U Chile,Unknown,Academic,Chile,c,
PRAGMA,University of Florida,U Florida,Unknown,Academic,US,b,
PRAGMA,University of Hong Kong,U HK,Unknown,Academic,Hong Kong,b,
PRAGMA,University of Hyderabad,U Hyderbad,Unknown,Academic,India,b,
PRAGMA,Universiti Sains Malaysia,U Sains Malaysia,Unknown,Academic,Malaysia,b,
PRAGMA,"Center for Computational Sciences, University of Tsukuba",U Tsukuba ,Unknown,Academic,Japan,b,
PRAGMA,University of Wisconsin,U Wisconsin,Unknown,Academic,US,b,
PRAGMA,U Zurich,U Zurich,Unknown,Academic,Switzerland,c,
PRAGMA,UCSD,UCSD,Unknown,Academic,US,a,
PRAGMA,"Computational Science and Engineering Online, University of Utah",Utah U,Unknown,Academic,US,E,
Sharp-Japan,EVL-UIUC,EVL,Unknown,Academic,US,a,
Sharp-USA,EVL-UIUC,EVL,Unknown,Academic,US,a,
StarLight,AAARNet-Australia,AAARNet,Unknown,Network,Australia,,
StarLight,CERNET-China,CERNET,Unknown,Network,China,,
StarLight,CESNET-Czechoslovakia,CESNET,Unknown,Network,Czech,,
StarLight,CIENA,CIENA,Unknown,Network,US,,
StarLight,CISCO,CISCO,Unknown,Network,US,,
StarLight,FAST-California Institute of Technology,FAST,Unknown,Network,US,,
StarLight,Global Netwave,Global Netwave,Unknown,Network,US,,
StarLight,GLORIAD,GLORIAD,Unknown,Network,US,,
StarLight,Janet-UK,JANET,Unknown,Network,UK,,
StarLight,"Juniper Networks, Inc",Juniper Networks,Unknown,Network,US,,
StarLight,KRLight-Korea,KRLight,Unknown,Network,Korea,,
StarLight,NetherLight,NetherLight,Unknown,Network,Netherlands,,
StarLight,NORDUnet,NORDUnet,Unknown,Network,Netherlands,,
StarLight,NSF-CISE,NSF,Unknown,Network,US,,
StarLight,SARA-Norway,SARA,Unknown,Network,Netherlands,,
StarLight,SurfNet-Netherlands,SurfNet,Unknown,Network,Netherlands,,
StarLight,TeraGrid-NSF,TeraGrid,Unknown,Network,US,,
StarLight,TERENA-Europe,TERENA,Unknown,Network,EU,,
StarLight,TransLight-NSF,TransLIght,Unknown,Network,US,,
StarLight,USLHCNet,USLHCNET,Unknown,Network,US,,
StarLight,WIDE-Japan,WIDE,Unknown,Network,Japan,,
University of Amsterdam,WAAG Society,WAAG,Unknown,Not for Profit,Netherlands,c,
Calit2 UCSD,Korea Electronics Technology Institute,KETI,"$1,000,000",Government,Korea,a,1
Calit2 UCI,Calit2 UCSD,Calit2,Unknown,Academic,US,,
,Global Lambda Integrated Facility,GLIF,Unknown,Project,Iceland,,1
,Calit2 UCSD,Calit2,Unknown,Academic,US,,1
